epoch,LEACH_trial0,LEACH_trial1,LEACH_trial2,LEACH_trial3,LEACH_trial4,LEACH_trial5,LEACH_trial6,LEACH_trial7,LEACH_trial8,LEACH_trial9,LEACH_trial10,LEACH_trial11,LEACH_trial12,LEACH_trial13,LEACH_trial14
53,50.0,49.0,49.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,50.0,49
54,50.0,49.0,49.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,50.0,49
55,50.0,48.0,49.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,50.0,49
56,50.0,48.0,49.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,50.0,49
57,50.0,48.0,49.0,49.0,50.0,50.0,49.0,49.0,48.0,48.0,49.0,48.0,49.0,50.0,49
58,50.0,48.0,49.0,49.0,50.0,50.0,49.0,49.0,48.0,48.0,49.0,48.0,49.0,50.0,49
59,50.0,48.0,49.0,49.0,49.0,50.0,49.0,49.0,48.0,48.0,49.0,48.0,49.0,50.0,49
60,50.0,48.0,49.0,49.0,49.0,50.0,49.0,48.0,48.0,48.0,49.0,48.0,49.0,50.0,49
61,50.0,48.0,49.0,49.0,49.0,50.0,49.0,48.0,48.0,48.0,49.0,48.0,48.0,50.0,49
62,50.0,48.0,49.0,49.0,49.0,50.0,49.0,48.0,47.0,47.0,49.0,48.0,48.0,50.0,49
63,50.0,48.0,49.0,49.0,49.0,50.0,48.0,48.0,47.0,47.0,49.0,48.0,48.0,50.0,49
64,50.0,48.0,49.0,49.0,49.0,50.0,48.0,48.0,47.0,47.0,49.0,48.0,48.0,49.0,49
65,50.0,46.0,48.0,49.0,49.0,49.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0,49.0,49
66,49.0,46.0,48.0,49.0,49.0,49.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0,49.0,49
67,49.0,45.0,48.0,49.0,49.0,49.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0,49.0,49
68,49.0,45.0,48.0,49.0,49.0,48.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0,49.0,49
69,49.0,45.0,47.0,49.0,49.0,47.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0,49.0,49
70,49.0,45.0,47.0,49.0,49.0,47.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0,49.0,49
71,49.0,45.0,47.0,49.0,48.0,47.0,47.0,48.0,46.0,47.0,48.0,48.0,47.0,49.0,48
72,48.0,45.0,47.0,49.0,48.0,46.0,47.0,48.0,45.0,47.0,48.0,48.0,47.0,48.0,48
73,48.0,45.0,47.0,49.0,48.0,45.0,47.0,48.0,45.0,46.0,48.0,48.0,47.0,48.0,48
74,48.0,45.0,47.0,49.0,48.0,45.0,47.0,48.0,45.0,46.0,48.0,48.0,47.0,48.0,47
75,48.0,44.0,47.0,49.0,47.0,45.0,47.0,46.0,45.0,45.0,48.0,48.0,47.0,48.0,47
76,48.0,44.0,47.0,48.0,47.0,45.0,47.0,46.0,45.0,45.0,47.0,48.0,47.0,48.0,47
77,48.0,44.0,47.0,48.0,47.0,45.0,47.0,46.0,44.0,45.0,44.0,47.0,47.0,48.0,47
78,48.0,44.0,47.0,48.0,47.0,45.0,47.0,46.0,44.0,45.0,44.0,46.0,47.0,48.0,47
79,48.0,43.0,47.0,47.0,47.0,45.0,47.0,46.0,43.0,45.0,44.0,45.0,47.0,48.0,47
80,48.0,43.0,45.0,47.0,47.0,44.0,47.0,46.0,42.0,45.0,44.0,44.0,47.0,48.0,46
81,48.0,42.0,45.0,47.0,47.0,44.0,47.0,46.0,42.0,45.0,44.0,44.0,47.0,48.0,45
82,48.0,42.0,45.0,47.0,47.0,44.0,47.0,46.0,42.0,45.0,44.0,44.0,47.0,48.0,45
83,47.0,41.0,45.0,46.0,47.0,44.0,46.0,46.0,42.0,45.0,44.0,44.0,47.0,48.0,45
84,47.0,41.0,45.0,46.0,47.0,44.0,46.0,46.0,41.0,44.0,44.0,44.0,47.0,48.0,45
85,47.0,39.0,44.0,46.0,47.0,44.0,46.0,45.0,41.0,44.0,44.0,44.0,47.0,48.0,45
86,46.0,39.0,44.0,46.0,47.0,44.0,46.0,45.0,41.0,44.0,44.0,43.0,47.0,47.0,45
87,46.0,39.0,44.0,46.0,47.0,44.0,46.0,45.0,41.0,44.0,44.0,43.0,47.0,47.0,45
88,46.0,38.0,44.0,46.0,46.0,44.0,44.0,44.0,39.0,43.0,43.0,42.0,47.0,46.0,45
89,46.0,38.0,44.0,44.0,46.0,44.0,44.0,44.0,39.0,42.0,43.0,42.0,47.0,45.0,45
90,46.0,38.0,44.0,44.0,46.0,44.0,44.0,44.0,39.0,40.0,43.0,42.0,47.0,45.0,44
91,46.0,38.0,43.0,44.0,46.0,44.0,43.0,44.0,39.0,40.0,43.0,42.0,47.0,45.0,44
92,46.0,38.0,42.0,44.0,45.0,44.0,41.0,44.0,38.0,39.0,43.0,41.0,47.0,45.0,44
93,46.0,38.0,42.0,44.0,45.0,43.0,41.0,44.0,38.0,38.0,43.0,41.0,46.0,45.0,44
94,46.0,38.0,41.0,42.0,45.0,43.0,40.0,44.0,38.0,38.0,43.0,41.0,45.0,43.0,43
95,46.0,38.0,41.0,41.0,44.0,42.0,39.0,42.0,37.0,38.0,42.0,40.0,45.0,43.0,43
96,46.0,37.0,39.0,41.0,44.0,42.0,38.0,41.0,37.0,37.0,42.0,39.0,44.0,43.0,42
97,46.0,37.0,39.0,40.0,44.0,42.0,38.0,41.0,37.0,37.0,41.0,37.0,44.0,42.0,41
98,46.0,37.0,39.0,40.0,44.0,41.0,38.0,41.0,36.0,37.0,39.0,37.0,44.0,42.0,41
99,46.0,37.0,37.0,39.0,44.0,40.0,38.0,41.0,36.0,36.0,39.0,37.0,44.0,42.0,41
100,45.0,37.0,37.0,39.0,43.0,40.0,38.0,41.0,35.0,34.0,38.0,37.0,43.0,42.0,41
101,45.0,37.0,37.0,38.0,42.0,40.0,38.0,41.0,35.0,34.0,38.0,37.0,42.0,42.0,41
102,45.0,36.0,36.0,38.0,42.0,39.0,38.0,40.0,35.0,33.0,38.0,36.0,41.0,42.0,41
103,45.0,35.0,36.0,38.0,41.0,39.0,38.0,40.0,34.0,33.0,38.0,36.0,41.0,42.0,41
104,44.0,35.0,36.0,37.0,41.0,39.0,38.0,40.0,33.0,31.0,38.0,36.0,41.0,42.0,40
105,44.0,35.0,36.0,37.0,41.0,39.0,38.0,40.0,33.0,31.0,38.0,36.0,40.0,41.0,40
106,44.0,35.0,36.0,37.0,41.0,39.0,38.0,39.0,32.0,31.0,37.0,36.0,40.0,41.0,40
107,44.0,35.0,35.0,37.0,41.0,39.0,37.0,39.0,32.0,31.0,36.0,36.0,39.0,41.0,40
108,43.0,34.0,34.0,37.0,41.0,39.0,36.0,39.0,32.0,31.0,34.0,35.0,39.0,40.0,40
109,43.0,34.0,32.0,37.0,40.0,39.0,36.0,38.0,32.0,31.0,34.0,35.0,38.0,39.0,40
110,42.0,34.0,32.0,37.0,40.0,39.0,36.0,38.0,32.0,30.0,34.0,35.0,38.0,39.0,40
111,41.0,34.0,32.0,37.0,40.0,39.0,35.0,38.0,31.0,30.0,33.0,34.0,38.0,39.0,40
112,40.0,34.0,32.0,37.0,40.0,39.0,34.0,37.0,31.0,30.0,32.0,34.0,38.0,38.0,40
113,40.0,34.0,31.0,37.0,39.0,39.0,32.0,37.0,31.0,30.0,32.0,34.0,38.0,37.0,39
114,40.0,34.0,30.0,37.0,38.0,39.0,31.0,37.0,30.0,30.0,32.0,34.0,38.0,36.0,39
115,40.0,34.0,30.0,36.0,36.0,37.0,31.0,37.0,29.0,30.0,32.0,33.0,38.0,36.0,39
116,40.0,32.0,28.0,36.0,36.0,36.0,31.0,37.0,27.0,30.0,31.0,33.0,36.0,36.0,39
117,40.0,32.0,27.0,36.0,35.0,36.0,31.0,37.0,26.0,30.0,31.0,33.0,35.0,36.0,39
118,40.0,32.0,26.0,35.0,34.0,36.0,31.0,37.0,26.0,29.0,31.0,33.0,34.0,35.0,38
119,40.0,31.0,25.0,35.0,33.0,35.0,30.0,35.0,25.0,29.0,31.0,33.0,33.0,35.0,38
120,40.0,31.0,25.0,35.0,33.0,34.0,30.0,35.0,25.0,29.0,31.0,33.0,33.0,33.0,38
121,40.0,30.0,25.0,34.0,31.0,34.0,28.0,35.0,25.0,28.0,30.0,33.0,33.0,31.0,37
122,40.0,29.0,23.0,34.0,31.0,34.0,26.0,34.0,25.0,28.0,30.0,31.0,33.0,30.0,37
123,40.0,28.0,23.0,33.0,31.0,33.0,26.0,34.0,25.0,26.0,28.0,31.0,33.0,30.0,36
124,38.0,28.0,21.0,32.0,31.0,31.0,26.0,34.0,24.0,26.0,26.0,31.0,32.0,30.0,36
125,38.0,27.0,21.0,31.0,31.0,31.0,24.0,33.0,23.0,26.0,26.0,31.0,31.0,30.0,36
126,37.0,26.0,21.0,31.0,31.0,31.0,24.0,33.0,23.0,25.0,26.0,29.0,30.0,30.0,35
127,36.0,24.0,21.0,31.0,30.0,31.0,24.0,33.0,23.0,25.0,26.0,28.0,30.0,30.0,35
128,36.0,22.0,21.0,31.0,30.0,31.0,24.0,33.0,23.0,24.0,26.0,28.0,30.0,30.0,35
129,36.0,22.0,21.0,30.0,30.0,31.0,24.0,33.0,23.0,24.0,26.0,28.0,30.0,30.0,35
130,36.0,21.0,20.0,30.0,30.0,30.0,24.0,33.0,23.0,24.0,26.0,28.0,30.0,30.0,35
131,36.0,21.0,20.0,29.0,29.0,28.0,24.0,33.0,23.0,23.0,26.0,28.0,30.0,30.0,35
132,36.0,21.0,19.0,29.0,29.0,28.0,24.0,33.0,22.0,23.0,25.0,28.0,30.0,30.0,33
133,36.0,21.0,18.0,29.0,27.0,27.0,24.0,33.0,22.0,23.0,25.0,28.0,30.0,29.0,33
134,35.0,21.0,18.0,29.0,27.0,27.0,23.0,33.0,22.0,23.0,24.0,28.0,30.0,29.0,32
135,35.0,21.0,18.0,28.0,26.0,26.0,23.0,33.0,22.0,23.0,24.0,28.0,30.0,28.0,32
136,35.0,21.0,17.0,27.0,26.0,26.0,23.0,31.0,22.0,22.0,24.0,28.0,29.0,28.0,32
137,34.0,21.0,17.0,26.0,26.0,26.0,22.0,28.0,22.0,22.0,23.0,27.0,29.0,27.0,31
138,34.0,21.0,17.0,26.0,25.0,26.0,22.0,28.0,22.0,22.0,22.0,27.0,29.0,26.0,31
139,34.0,20.0,17.0,26.0,25.0,25.0,21.0,28.0,21.0,21.0,22.0,27.0,28.0,26.0,30
