epoch,LEACH_trial0,LEACH_trial1,LEACH_trial2,LEACH_trial3,LEACH_trial4,LEACH_trial5,LEACH_trial6,LEACH_trial7,LEACH_trial8,LEACH_trial9,LEACH_trial10,LEACH_trial11,LEACH_trial12,LEACH_trial13,LEACH_trial14
0,99.02915002149025,97.66524414692718,101.22114219818842,99.87858523857423,100.2066524087124,100.57824507311065,101.54164344827835,101.2526349312113,99.21692331869076,100.00302879793327,100.61362033548863,101.28290733271575,101.56022860142437,100.62762508348743,101.8645285008091
1,98.31096489598085,96.8814499353013,100.64441917824763,99.0763562300915,99.60610412734464,99.96381702849689,100.9634650138662,100.62070677771243,98.56803486985861,98.99620749071772,99.4854131757418,100.30875015415327,101.01486066391796,99.90943008016404,101.29283489825123
2,97.74235745047767,96.03100602002573,99.7721717202316,98.32413721453352,99.08775876369376,99.33871218717256,99.89779432981511,99.99478977761578,98.04979498002092,98.31538639793422,98.3836717878397,99.37827726532389,100.48582862690311,99.25548715203614,100.71171492268937
3,97.19783307259227,95.3825544744303,98.66515677191805,97.62689511719314,98.42382653274508,98.70371895878307,99.29047510438772,99.40757956488821,97.22804296351346,97.51187965151682,97.70943160182466,98.83762580965724,99.18523281506293,98.68663830211145,100.07815282808534
4,96.42858544772413,94.70853496240954,97.868632077422,96.57259945006881,97.88964022777711,98.09657680132008,98.33350821913434,98.76800188011322,96.49374971007202,96.56366076889346,97.12520350858432,98.2532585986332,98.54446728280202,97.99593073521551,99.39590872661896
5,95.65855737309104,94.00816710075502,97.21621895132964,96.01988747588958,97.35227477444431,96.87141733488795,97.72349258825088,98.21574159150715,95.6772584925964,95.78048189351617,96.50538543022108,97.13873492426305,96.6655920864,97.11925496928099,98.47556012459273
6,95.15949437357615,93.35419077023523,96.443476060372,95.45507558595241,96.56837264565429,96.27651447568122,95.87542877499304,97.53418919859715,94.94970895052228,95.14766355576549,95.66120003235349,96.3687238796343,95.92646502443796,96.39113881687034,97.7359916627354
7,94.53891054225731,92.6291441123962,95.72532266868156,94.6923357726437,95.63282243056258,95.71955023024545,95.13056823876715,96.86946271874716,94.08654930060194,94.47310160268702,95.10378929976545,95.68148191136126,95.31069455796194,95.64923596881908,97.00521349558063
8,93.9895481562772,91.40158483107619,94.98672856998279,94.0568348772928,95.01897688483461,95.18439898844312,94.28748293124814,96.0402410409608,93.40515453519136,93.72102909560589,94.33287488220628,94.9931184697618,94.32340570154493,95.13112706385505,96.27059654332106
9,93.40614303922574,90.74004611076091,94.25370553477796,93.47448082443506,94.42638192699906,94.49564874796076,93.32333355801647,95.14997359052579,92.72145593039221,92.98471047285429,93.43315045764206,94.30056849808165,93.5080296903543,94.38224957066831,95.67467773464327
10,92.851525760067,89.7519727855674,93.62040851718956,92.6567711403017,93.14042675665381,93.83297074956504,92.67794024250131,94.58383682434278,91.96627101620476,91.93666982414966,92.66909802927005,93.61390060012802,92.74397887358401,93.74782945020625,95.11284341274394
11,92.09638309914634,88.46885702622194,92.76061435481695,91.99947985376944,92.57136476294365,93.24167708544073,92.0812834617687,93.95805871109607,90.85499732978806,90.70677517763602,91.81293907613292,92.75299576279805,92.0749817888194,92.58361041553927,94.20621407386314
12,91.31039017332428,87.84807468907222,91.8728332499389,91.4779699317988,91.01582762918171,92.53993017446469,90.80871362568126,93.40185944140056,89.20503139481679,90.06642014065383,91.11544754021999,91.73872041469016,91.52687226513214,91.9731413462426,93.64878463113456
13,90.67902936845572,87.07835320312407,90.95276509742465,90.65179406353793,90.27199191660439,91.28470361583842,90.05852790818324,92.79468910590838,88.18227658451906,89.22358363103082,89.64286795656362,91.10476558278363,90.84804106752131,91.4182797829587,92.67422548937824
14,89.90827749918185,86.42913661262934,90.08235748422851,90.10225048753982,89.02507414268163,90.73442669497949,88.78413227062838,91.19673822251688,87.38936220261525,88.62237673489744,88.9599283502867,90.01585964771148,90.18645327196238,90.56493241194387,92.17796546823077
15,89.2560535111214,85.0698568687593,89.45026104232203,89.38118455550841,87.3402324220388,89.23866637281661,88.21993869178276,89.41160961882959,86.50972828285978,87.89488756689137,87.80828982049476,89.1769046467024,89.40263462998435,89.65792252453133,91.12302655639283
16,88.56643472335647,84.37113571377772,88.54245289691275,88.67413026338602,85.57891756122768,88.59962702287785,87.56169399441464,88.68546687439606,84.91503513086681,87.01166317417851,86.64468806603406,88.57682304334456,88.42161250720551,89.04110144965209,90.4494302246361
17,88.06843803347017,83.67694746615953,87.24738179739784,87.91266644488216,84.79842798815767,87.86138391292486,86.88078483629846,88.07724566469989,84.35818952066418,86.20465352255046,85.8853781037042,88.06207297550537,87.63741901752117,88.16851593835207,89.86831024907423
18,87.24909255884671,82.91311267859952,86.54605696465958,86.90082841651441,83.89455666841238,87.21892609852786,85.81412612575649,86.69636594365325,83.68707911559913,85.33559885024395,84.3525621260117,86.88987143138972,87.1036648801472,87.60523917251159,89.30835800807894
19,86.4399140835662,82.1167348765029,85.72271971241388,86.26120174526415,82.47598504911964,86.5602224821889,84.93466676420904,86.07822565205801,83.11126575496392,84.1434473913392,83.32164053448639,86.22931906653702,86.07011011955531,86.74489281726633,88.40172866919812
