epoch,HEED_trial0,HEED_trial1,HEED_trial2,HEED_trial3,HEED_trial4,HEED_trial5,HEED_trial6,HEED_trial7,HEED_trial8,HEED_trial9,HEED_trial10,HEED_trial11,HEED_trial12,HEED_trial13,HEED_trial14
0,99.1770239004428,98.48560922603043,101.64558686380632,100.8110343635389,100.3592966804018,100.67361928328125,101.66995669618451,101.67039955478438,100.6659157868632,100.17633274366825,100.75595302681306,101.56453706341514,102.19314519798323,100.7273738976043,101.87229839014435
1,98.67302569434379,97.91809955591894,101.09441721837199,100.27810933567032,99.86245926535611,100.21487020614144,101.1254197832131,101.14953044982941,100.15797379615496,99.6665021849355,100.18516253040193,101.04618130375272,101.69445152674261,100.22433881238756,101.34386960221823
2,98.19398367918542,97.36536233864659,100.5769189534558,99.73960498820415,99.3789692623949,99.73797273388483,100.61530405704256,100.64750966638975,99.60227429307996,99.17150802751608,99.63402410745678,100.52820404979569,101.17897063934409,99.71294085971655,100.82077696500447
3,97.70531561224156,96.81655585937715,100.0400644311752,99.23030710040703,98.88655759503693,99.27214556732432,100.07595059472665,100.14324306606647,99.0643315667474,98.66769474216753,99.07085260619189,100.03276413823222,100.66989171987773,99.19895870480983,100.30700335162629
4,97.22360048974056,96.25824438366122,99.50726624718183,98.6995226812083,98.40706648983598,98.79326175430961,99.54633061002727,99.6252828390156,98.5377469648529,98.15935917606802,98.49249933434517,99.53183024881884,100.17416899275756,98.69681126878352,99.81608228483898
5,96.72905195343705,95.678608598474,98.954386087332,98.18023456092855,97.90969008090889,98.32377621404994,99.02090752028299,99.14049240276539,97.98042603420026,97.63601514401124,97.94350023798918,99.0275548233051,99.67972597522841,98.19498729631324,99.30145170861954
6,96.23200513531664,95.13236903538946,98.42959806341781,97.65517840216673,97.4361763320086,97.8528617391113,98.5019304286166,98.61999713357325,97.4268904746536,97.120676324418,97.40387397918866,98.52425103921888,99.17403541035483,97.68090415506428,98.80552167924323
7,95.73445632409423,94.61583893252735,97.88147773955528,97.14451082425066,96.93490442418842,97.395461577722,97.99275833522145,98.12343837760865,96.8632219810775,96.5988998869732,96.83069953974079,98.00005248709724,98.66698438079925,97.18501610087985,98.30097198879554
8,95.2578795924975,94.03373468523785,97.32861372455763,96.61796862428328,96.47162870801121,96.93422029313544,97.43976095075716,97.6371738382979,96.34058400147782,96.12426000778373,96.28662797380052,97.5173771645499,98.17157353060836,96.66277880821092,97.79100276313001
9,94.75943212315431,93.49848539864458,96.8241371957518,96.10763484531061,95.97057381644741,96.483003572138,96.9113257775596,97.16564245064018,95.7819833091745,95.62414387864017,95.74284828170492,97.0053290101009,97.67557761261725,96.15288805512719,97.28212242261117
10,94.26230883594768,92.91433294349963,96.2789844337413,95.5944189042314,95.4648841318719,96.02168031704916,96.38525064779886,96.67993782585748,95.20374523381071,95.1188516967614,95.18984080753789,96.49253363569407,97.17201649350383,95.64420027560185,96.77420392748877
