epoch,ABC-Auction_trial0,ABC-Auction_trial1,ABC-Auction_trial2,ABC-Auction_trial3,ABC-Auction_trial4,ABC-Auction_trial5,ABC-Auction_trial6,ABC-Auction_trial7,ABC-Auction_trial8,ABC-Auction_trial9,ABC-Auction_trial10,ABC-Auction_trial11,ABC-Auction_trial12,ABC-Auction_trial13,ABC-Auction_trial14
0,99.26131737179637,98.56518514569827,101.70114534941878,100.86520774968085,100.4602527369532,100.74599638378275,101.7561840594903,101.76045445400608,100.7225537496872,100.26099274181381,100.8464556040303,101.64729917455242,102.22396297367162,100.79546690036989,101.92276782313267
1,98.83607331024893,98.15685934612657,101.23215707746405,100.43478396635204,100.0617574704457,100.3793253807392,101.32881718248855,101.33837586013378,100.25828919885274,99.8461465593817,100.40128935406247,101.23962323244925,101.77244689425075,100.38840870003672,101.4718974839132
2,98.40726364892336,97.72091011314235,100.77813685815791,100.01652948970114,99.63696005340228,99.98978406176175,100.89248816355513,100.89206832429429,99.74595090805266,99.43412141490259,99.92160086542636,100.82917943562147,101.35735906144451,99.98023295552446,101.05056069794678
3,98.01886750063902,97.27347199887065,100.32003767117024,99.53388544822361,99.2500773399305,99.6070521242375,100.4581793183498,100.44408734880591,99.23537749226332,99.00662164215512,99.42928154769615,100.43237995935264,100.95266941749244,99.52187712461235,100.62101052836046
4,97.6214832134316,96.85638876266721,99.84043445975998,99.0466489666864,98.82685190439479,99.22330352278317,100.03027460165845,99.99666632791784,98.7782133144421,98.53384639116047,98.9575740931537,100.03960544817421,100.51614574798222,99.09683341961319,100.1770534414726
5,97.22647810872368,96.34335943911222,99.36290050949708,98.5688200538016,98.39000907980929,98.86532884961532,99.54965066840172,99.53587713423136,98.3216543481337,98.0189222378245,98.46859624459267,99.6331063877225,100.11513601155752,98.68619821946753,99.74776571233723
6,96.80162944983398,95.8566343806985,98.8622046644207,98.10956408906192,98.00848093437932,98.4695131795262,99.08526151475591,99.04486829938594,97.81774258610847,97.53665071708276,97.96999549621391,99.1868211636762,99.68435375141529,98.24195617452114,99.33115186600783
7,96.36287747429336,95.35500409995906,98.31070802052517,97.6048454041201,97.55611585872971,98.01887421229834,98.59926632625627,98.61722990427342,97.29448915202128,97.0180737615519,97.44833890638789,98.71191053068422,99.22053969041828,97.78248556181038,98.87985434976284
8,95.92810232813063,94.87572753532103,97.75369258412985,97.13834090384238,97.10039455024675,97.52157739091045,98.10152550297038,98.19122642213189,96.81996666591262,96.53366784539513,96.93412807153337,98.25406570451212,98.72533368761805,97.2981901778033,98.41611063766798
9,95.45886313592041,94.4178614509768,97.18776665907139,96.67910323482528,96.67232007276246,97.0302257885373,97.60386228687251,97.7053807996464,96.32340552537237,95.9987567812138,96.45948163698829,97.8245949742619,98.23604179545298,96.75320892645792,97.97582871294665
10,95.02142484241513,93.90686616290128,96.63150175653006,96.18750225302347,96.27309264389986,96.6338778995885,97.06362877064883,97.27107515624111,95.754533464626,95.54601080875365,95.90302465805549,97.44054580556976,97.79117581785891,96.26638623951418,97.50449652285012
11,94.57786393799054,93.44640261764715,96.03784668657146,95.71163765621456,95.8514919524301,96.26205919061543,96.56880114780301,96.84436354627601,95.19457506714188,95.14186552839611,95.3372895489195,97.05221238452741,97.30967524897353,95.80089881739755,96.97456954823477
12,94.12185727016742,92.92007583120368,95.50392875058922,95.27405859502414,95.46119524896295,95.88347287874699,96.07959102285572,96.41579592700236,94.64339255095815,94.73239755533055,94.82944570287012,96.62223470929956,96.85206085898308,95.35042406530798,96.4971456581201
13,93.6225799846009,92.45349193280562,95.057502300284,94.82670185083265,95.05491687106935,95.50057572169615,95.56132008457118,95.9438954592212,94.07536120610568,94.30585124462925,94.36903299946313,96.20636411722072,96.36563505693071,94.90156288374341,96.03442541737144
14,93.22349069878537,92.03384547552169,94.61141226460553,94.33373246336521,94.52758241581738,95.12163430716554,95.09241077364976,95.51971865902412,93.57862608335147,93.86321001731774,93.8857328102521,95.78378437410035,95.94673592596135,94.37023073925118,95.50407210946116
15,92.82983322510418,91.62045067440914,94.13396573901797,93.82141025894403,94.05226413195982,94.72964742229483,94.65048873712185,95.10257585802441,93.05569637922292,93.39681441443327,93.36877703111665,95.36088572776995,95.5314836677684,93.9085008536845,95.04167826850775
16,92.44023419670565,91.16848290173147,93.66476797862342,93.32257047016863,93.60789960619836,94.30098406533317,94.20755537051855,94.69064774775116,92.55280518170285,92.8637092062485,92.85774518477515,94.93580899328275,95.04248216004092,93.47953732977666,94.6004438730916
17,92.0285192789011,90.72263509735996,93.20313391040565,92.88918583939524,93.16035649409143,93.87423084244764,93.76781210399803,94.28432568622864,92.03691453625453,92.33933280369394,92.36542944297136,94.48802220039995,94.58110115619931,93.05380746358314,94.19040529072124
