epoch,ABC-Auction_trial0,ABC-Auction_trial1,ABC-Auction_trial2,ABC-Auction_trial3,ABC-Auction_trial4,ABC-Auction_trial5,ABC-Auction_trial6,ABC-Auction_trial7,ABC-Auction_trial8,ABC-Auction_trial9,ABC-Auction_trial10,ABC-Auction_trial11,ABC-Auction_trial12,ABC-Auction_trial13,ABC-Auction_trial14,HEED_trial0,HEED_trial1,HEED_trial2,HEED_trial3,HEED_trial4,HEED_trial5,HEED_trial6,HEED_trial7,HEED_trial8,HEED_trial9,HEED_trial10,HEED_trial11,HEED_trial12,HEED_trial13,HEED_trial14,LEACH_trial0,LEACH_trial1,LEACH_trial2,LEACH_trial3,LEACH_trial4,LEACH_trial5,LEACH_trial6,LEACH_trial7,LEACH_trial8,LEACH_trial9,LEACH_trial10,LEACH_trial11,LEACH_trial12,LEACH_trial13,LEACH_trial14
0,99.26131737179637,98.56518514569827,101.70114534941878,100.86520774968085,100.4602527369532,100.74599638378275,101.7561840594903,101.76045445400608,100.7225537496872,100.26099274181381,100.8464556040303,101.64729917455242,102.22396297367162,100.79546690036989,101.92276782313267,99.1770239004428,98.48560922603043,101.64558686380632,100.8110343635389,100.3592966804018,100.67361928328125,101.66995669618451,101.67039955478438,100.6659157868632,100.17633274366825,100.75595302681306,101.56453706341514,102.19314519798323,100.7273738976043,101.87229839014435,99.02915002149025,97.66524414692718,101.22114219818842,99.87858523857423,100.2066524087124,100.57824507311065,101.54164344827835,101.2526349312113,99.21692331869076,100.00302879793327,100.61362033548863,101.28290733271575,101.56022860142437,100.62762508348743,101.8645285008091
1,98.83607331024893,98.15685934612657,101.23215707746405,100.43478396635204,100.0617574704457,100.3793253807392,101.32881718248855,101.33837586013378,100.25828919885274,99.8461465593817,100.40128935406247,101.23962323244925,101.77244689425075,100.38840870003672,101.4718974839132,98.67302569434379,97.91809955591894,101.09441721837199,100.27810933567032,99.86245926535611,100.21487020614144,101.1254197832131,101.14953044982941,100.15797379615496,99.6665021849355,100.18516253040193,101.04618130375272,101.69445152674261,100.22433881238756,101.34386960221823,98.31096489598085,96.8814499353013,100.64441917824763,99.0763562300915,99.60610412734464,99.96381702849689,100.9634650138662,100.62070677771243,98.56803486985861,98.99620749071772,99.4854131757418,100.30875015415327,101.01486066391796,99.90943008016404,101.29283489825123
2,98.40726364892336,97.72091011314235,100.77813685815791,100.01652948970114,99.63696005340228,99.98978406176175,100.89248816355513,100.89206832429429,99.74595090805266,99.43412141490259,99.92160086542636,100.82917943562147,101.35735906144451,99.98023295552446,101.05056069794678,98.19398367918542,97.36536233864659,100.5769189534558,99.73960498820415,99.3789692623949,99.73797273388483,100.61530405704256,100.64750966638975,99.60227429307996,99.17150802751608,99.63402410745678,100.52820404979569,101.17897063934409,99.71294085971655,100.82077696500447,97.74235745047767,96.03100602002573,99.7721717202316,98.32413721453352,99.08775876369376,99.33871218717256,99.89779432981511,99.99478977761578,98.04979498002092,98.31538639793422,98.3836717878397,99.37827726532389,100.48582862690311,99.25548715203614,100.71171492268937
3,98.01886750063902,97.27347199887065,100.32003767117024,99.53388544822361,99.2500773399305,99.6070521242375,100.4581793183498,100.44408734880591,99.23537749226332,99.00662164215512,99.42928154769615,100.43237995935264,100.95266941749244,99.52187712461235,100.62101052836046,97.70531561224156,96.81655585937715,100.0400644311752,99.23030710040703,98.88655759503693,99.27214556732432,100.07595059472665,100.14324306606647,99.0643315667474,98.66769474216753,99.07085260619189,100.03276413823222,100.66989171987773,99.19895870480983,100.30700335162629,97.19783307259227,95.3825544744303,98.66515677191805,97.62689511719314,98.42382653274508,98.70371895878307,99.29047510438772,99.40757956488821,97.22804296351346,97.51187965151682,97.70943160182466,98.83762580965724,99.18523281506293,98.68663830211145,100.07815282808534
4,97.6214832134316,96.85638876266721,99.84043445975998,99.0466489666864,98.82685190439479,99.22330352278317,100.03027460165845,99.99666632791784,98.7782133144421,98.53384639116047,98.9575740931537,100.03960544817421,100.51614574798222,99.09683341961319,100.1770534414726,97.22360048974056,96.25824438366122,99.50726624718183,98.6995226812083,98.40706648983598,98.79326175430961,99.54633061002727,99.6252828390156,98.5377469648529,98.15935917606802,98.49249933434517,99.53183024881884,100.17416899275756,98.69681126878352,99.81608228483898,96.42858544772413,94.70853496240954,97.868632077422,96.57259945006881,97.88964022777711,98.09657680132008,98.33350821913434,98.76800188011322,96.49374971007202,96.56366076889346,97.12520350858432,98.2532585986332,98.54446728280202,97.99593073521551,99.39590872661896
5,97.22647810872368,96.34335943911222,99.36290050949708,98.5688200538016,98.39000907980929,98.86532884961532,99.54965066840172,99.53587713423136,98.3216543481337,98.0189222378245,98.46859624459267,99.6331063877225,100.11513601155752,98.68619821946753,99.74776571233723,96.72905195343705,95.678608598474,98.954386087332,98.18023456092855,97.90969008090889,98.32377621404994,99.02090752028299,99.14049240276539,97.98042603420026,97.63601514401124,97.94350023798918,99.0275548233051,99.67972597522841,98.19498729631324,99.30145170861954,95.65855737309104,94.00816710075502,97.21621895132964,96.01988747588958,97.35227477444431,96.87141733488795,97.72349258825088,98.21574159150715,95.6772584925964,95.78048189351617,96.50538543022108,97.13873492426305,96.6655920864,97.11925496928099,98.47556012459273
6,96.80162944983398,95.8566343806985,98.8622046644207,98.10956408906192,98.00848093437932,98.4695131795262,99.08526151475591,99.04486829938594,97.81774258610847,97.53665071708276,97.96999549621391,99.1868211636762,99.68435375141529,98.24195617452114,99.33115186600783,96.23200513531664,95.13236903538946,98.42959806341781,97.65517840216673,97.4361763320086,97.8528617391113,98.5019304286166,98.61999713357325,97.4268904746536,97.120676324418,97.40387397918866,98.52425103921888,99.17403541035483,97.68090415506428,98.80552167924323,95.15949437357615,93.35419077023523,96.443476060372,95.45507558595241,96.56837264565429,96.27651447568122,95.87542877499304,97.53418919859715,94.94970895052228,95.14766355576549,95.66120003235349,96.3687238796343,95.92646502443796,96.39113881687034,97.7359916627354
7,96.36287747429336,95.35500409995906,98.31070802052517,97.6048454041201,97.55611585872971,98.01887421229834,98.59926632625627,98.61722990427342,97.29448915202128,97.0180737615519,97.44833890638789,98.71191053068422,99.22053969041828,97.78248556181038,98.87985434976284,95.73445632409423,94.61583893252735,97.88147773955528,97.14451082425066,96.93490442418842,97.395461577722,97.99275833522145,98.12343837760865,96.8632219810775,96.5988998869732,96.83069953974079,98.00005248709724,98.66698438079925,97.18501610087985,98.30097198879554,94.53891054225731,92.6291441123962,95.72532266868156,94.6923357726437,95.63282243056258,95.71955023024545,95.13056823876715,96.86946271874716,94.08654930060194,94.47310160268702,95.10378929976545,95.68148191136126,95.31069455796194,95.64923596881908,97.00521349558063
8,95.92810232813063,94.87572753532103,97.75369258412985,97.13834090384238,97.10039455024675,97.52157739091045,98.10152550297038,98.19122642213189,96.81996666591262,96.53366784539513,96.93412807153337,98.25406570451212,98.72533368761805,97.2981901778033,98.41611063766798,95.2578795924975,94.03373468523785,97.32861372455763,96.61796862428328,96.47162870801121,96.93422029313544,97.43976095075716,97.6371738382979,96.34058400147782,96.12426000778373,96.28662797380052,97.5173771645499,98.17157353060836,96.66277880821092,97.79100276313001,93.9895481562772,91.40158483107619,94.98672856998279,94.0568348772928,95.01897688483461,95.18439898844312,94.28748293124814,96.0402410409608,93.40515453519136,93.72102909560589,94.33287488220628,94.9931184697618,94.32340570154493,95.13112706385505,96.27059654332106
9,95.45886313592041,94.4178614509768,97.18776665907139,96.67910323482528,96.67232007276246,97.0302257885373,97.60386228687251,97.7053807996464,96.32340552537237,95.9987567812138,96.45948163698829,97.8245949742619,98.23604179545298,96.75320892645792,97.97582871294665,94.75943212315431,93.49848539864458,96.8241371957518,96.10763484531061,95.97057381644741,96.483003572138,96.9113257775596,97.16564245064018,95.7819833091745,95.62414387864017,95.74284828170492,97.0053290101009,97.67557761261725,96.15288805512719,97.28212242261117,93.40614303922574,90.74004611076091,94.25370553477796,93.47448082443506,94.42638192699906,94.49564874796076,93.32333355801647,95.14997359052579,92.72145593039221,92.98471047285429,93.43315045764206,94.30056849808165,93.5080296903543,94.38224957066831,95.67467773464327
